Comparing files film.yuv and FILMDEC.YUV
0000E7C9: 33 34
00011893: 93 92
00013020: 93 92
00013883: 93 92
000143F6: 92 91
000148F3: 92 91
00015008: 93 92
00015F10: 93 92
00017750: 91 90
00017793: 92 91
00019014: 92 91
0001A010: 92 91
0001B0D4: 90 8F
0001B9DF: 90 8F
0001BCDF: 91 92
0001BDE0: 92 91
0001DB07: 92 91
0001DB10: 92 91
0001E310: 93 92
0001E833: 93 92
0001F010: 93 92
0001F840: 92 91
0001FFBF: 91 92
0001FFC0: 90 91
0002000B: 84 83
0002050B: 88 87
00020BCB: 86 85
00020C37: 87 86
0002116B: 87 86
00022FDF: 86 87
00023833: 89 88
000238D7: 86 85
000248E2: 86 87
0002500B: 89 8A
00025773: 89 88
00025F0B: 89 8A
00025F60: 89 88
00026327: 8B 8A
0002632C: 8B 8A
0002682C: 8B 8A
00026843: 8A 89
00026B0A: 8B 8A
00026F13: 8B 8A
00027004: 8B 8C
00028080: 8A 89
0002831F: 8B 8A
00028BF3: 8A 89
00028BF6: 8A 89
00029BFB: 8B 8A
0002B7D4: 8D 8E
0002BB0B: 8D 8C
0002BBC3: 8E 8D
0002BBCB: 8F 8E
0002BBD0: 8F 8E
0002BBE0: 8E 8D
0002BF5B: 8E 8D
0002BF63: 8F 8E
0002BF70: 8F 8E
0002C303: 8E 8D
0002C333: 8F 8E
0002C357: 8E 8F
0002C388: 8F 8E
0002C38F: 8F 8E
0002C3CB: 90 8F
0002C3D0: 90 8F
0002C3F0: 8F 8E
0002C457: 8F 90
0002CB1B: 90 8F
0002CB2B: 90 8F
0002D30F: 90 8F
0002D7D0: 91 90
0002DB0B: 91 90
0002DBBB: 92 91
0002DBC7: 92 91
0002E7D0: 92 91
0002EF03: 92 91
0002EF0B: 93 92
0002EFFC: 93 92
0002F33B: 94 93
0002F4C0: 95 96
0002FB33: 95 94
0002FBB3: 96 95
0002FBF3: 95 94
0002FF33: 96 95
000308C6: 38 39
000310E4: 3B 3A
00031870: 3C 3B
00032728: 3B 3C
00034880: 3F 40
0003589A: 43 42
0003BF85: 54 55
0003C386: 57 56
0003CC42: 5B 5A
0003D096: 58 57
0003DFC0: 57 58
0003E18D: 5A 5B
0003F530: 5E 5F
0003FC6D: 5D 5E
0003FFC9: 5C 5D
000400BE: 91 90
000408F3: 92 91
00042440: 91 92
00042658: 90 8F
00042683: 90 8F
00042A87: 8F 8E
00042AA4: 8F 8E
00042C9C: 90 8F
00043853: 8F 8E
000438A3: 8F 8E
00044783: 8D 8C
0004564B: 8D 8C
0004569B: 8E 8D
00045F1F: 8C 8D
0004601F: 8B 8C
0004632B: 8A 8B
00046847: 8A 89
00046F30: 89 88
0004704F: 8A 89
000470CB: 8C 8B
0004738C: 88 89
000478CB: 8B 8A
00047A03: 88 87
00047F4F: 88 89
00047FDB: 8B 8A
00048AFF: 8B 8A
000490AF: 89 88
00049CAF: 88 87
00049F5B: 86 85
0004A010: 85 84
0004A4CF: 87 86
0004A8CF: 86 85
0004B05F: 84 83
0004B8C3: 86 85
0004C07F: 83 82
0004C467: 82 81
0004C84F: 81 80
0004C860: 81 80
0004C867: 81 80
0004CC43: 80 7F
0004CC48: 80 7F
0004CC4F: 80 7F
0004D07B: 81 80
0004D0AF: 83 82
0004D457: 7F 7E
0004D613: 7E 7D
0004D67B: 80 7F
0004D8AF: 82 81
0004D8BF: 82 81
0004D8CF: 83 82
0004D8DF: 83 82
0004D8EF: 84 83
0004DA03: 7C 7B
0004DA83: 7F 7E
0004DABA: 81 80
0004DADA: 82 81
0004DC8F: 80 7F
0004DCA3: 81 80
0004DCA8: 81 80
0004DCAF: 81 80
0004DCEF: 83 82
0004E4AF: 80 7F
0004E4EF: 82 81
0004E65B: 7D 7C
0004E86F: 7D 7C
0004E8BF: 80 7F
0004E8DF: 81 80
0004EC33: 7A 79
0004ECBF: 7F 7E
0004ECD8: 80 7F
0004ECF3: 81 80
0004F06F: 7C 7B
0004F433: 79 78
0004F4BF: 7E 7D
0004F8DF: 7E 7D
0004FA03: 77 76
0004FC53: 79 78
000500EF: 95 96
000500FA: 96 95
00050333: 97 96
00050380: 97 96
00050470: 97 98
0005076F: 98 97
00050B03: 96 95
00050B1F: 97 96
00050B43: 98 97
00050BC0: 98 97
00050BE8: 96 95
000510DF: 98 99
00051B73: 9B 9A
00051F73: 9C 9B
00052303: 9C 9B
000523C4: 9C 9B
00052470: 9D 9E
0005248B: 9D 9E
0005276F: 9E 9D
0005288C: 9E 9F
00052893: 9E 9F
000533C6: 9F 9E
00053473: A0 A1
00053B80: A1 A2
00053C73: A3 A4
00053C80: A2 A3
00053CA3: A1 A2
00054317: A5 A4
00054327: A5 A4
000543C6: A2 A1
000543CA: A1 A0
00054BC8: A3 A2
00055487: A8 A9
0005549B: A7 A8
00055A8F: A9 AA
00055BC0: A7 A6
00055CAF: A9 AA
00055D03: AB AA
000563A7: AB AC
000563F7: A6 A5
000564A7: AC AD
00056507: AE AD
0005674B: AF AE
000567AC: AC AB
00056807: AF B0
0005685F: AF B0
00056CB7: AB AC
00056F2F: B1 B2
000575BE: AC AD
00057707: B4 B3
000578A7: B0 B1
00057C97: B2 B3
00057CF3: AA AB
00058084: B3 B4
00058180: B5 B4
00058310: B7 B8
000583DB: AD AE
000584DB: AE AF
0005856B: B7 B8
00058737: B8 B9
00058837: B9 BA
